Kanji	Keyword	KeywordWK	ElementsTree	Elements
劾	censure	Censure		censure, sign of the hog, acorn, top hat, power, muscle, arnold
述	mention	Mention		mention, resin, pole, road
術	art	Art		art, boulevard, going, resin, pole, little, small
寒	cold	Cold		cold, Baba Yaga’s hut, house, celery, animal legs, ice
塞	block up			block up, Baba Yaga’s hut, house, celery, animal legs, soil, dirt, ground
醸	brew	Brew		brew, whiskey bottle, grass skirt, top hat, eight, six, animal legs, celery, scarf
譲	defer	Defer		defer, say, words, keitai, mouth, grass skirt, top hat, eight, six, animal legs, celery, scarf
壌	lot	Soil		lot, soil, dirt, ground, grass skirt, top hat, eight, six, animal legs, celery, scarf
嬢	lass	Miss		lass, woman, grass skirt, top hat, eight, six, animal legs, celery, scarf
毒	poison	Poison		poison, grow up, mother, breasts
素	elementary	Element		elementary, grow up, thread, spiderman
麦	barley	Wheat		barley, grow up, walking legs
青	blue	Blue		blue, grow up, moon, flesh
精	refined	Spirit		refined, rice, blue, grow up, moon, flesh
請	solicit	Request		solicit, say, words, keitai, mouth, blue, grow up, moon, flesh
情	feelings	Feeling		feelings, Freud, state of mind, blue, grow up, moon, flesh
晴	clear up	Clear Up		clear up, sun, day, blue, grow up, moon, flesh
清	pure	Pure		pure, water, water droplets, water pistol, blue, grow up, moon, flesh
静	quiet	Quiet		quiet, silent, blue, grow up, moon, flesh, contend, bound up, rake
責	blame	Blame		blame, grow up, shellfish, shell, clam, oyster, eye, animal legs, eight
績	exploits	Exploits		exploits, thread, spiderman, blame, grow up, shellfish, shell, clam, oyster, eye, animal legs, eight
積	volume	Accumulate		volume, wheat, cereal, blame, grow up, shellfish, shell, clam, oyster, eye, animal legs, eight
債	bond	Debt		bond, person, blame, grow up, shellfish, shell, clam, oyster, eye, animal legs, eight
漬	pickling	Pickle		pickling, water, water droplets, water pistol, blame, grow up, shellfish, shell, clam, oyster, eye, animal legs, eight
表	surface	Express		surface, grow up, scarf
俵	bag	Sack		bag, person, surface, grow up, scarf
潔	undefiled	Pure		undefiled, water, water droplets, water pistol, flick knife, grow up, sword, dagger, thread, spiderman
契	pledge	Pledge		pledge, flick knife, grow up, dagger, large, St. Bernard
喫	consume	Consume		consume, mouth, pledge, flick knife, grow up, dagger, large, St. Bernard
害	harm	Damage		harm, mansion, house, grow up, mouth
轄	control	Control		control, car, harm, mansion, house, grow up, mouth
割	proportion	Divide		proportion, harm, mansion, house, grow up, mouth, sword, sabre, saber
憲	constitution	Constitution		constitution, mansion, house, grow up, eye, cross-eyed, net, heart
生	life	Life		life, This is Your Life, cell, drop, grow up
星	star	Star		star, sun, day, life, This is Your Life, cell, drop, grow up
醒	awakening			awakening, whiskey bottle, star, sun, day, life, This is Your Life, cell, drop, grow up
姓	surname	Surname		surname, woman, life, This is Your Life, cell, drop, grow up
性	sex	Gender		sex, Freud, state of mind, life, This is Your Life, cell, drop, grow up
牲	animal sacrifice	Offering		animal sacrifice, cow, life, This is Your Life, cell, drop, grow up
産	products	Give Birth		products, vase, stand up, cliff, life, This is Your Life, cell, drop, grow up
隆	hump	Prosperity		hump, pinnacle, parthenon, acropolis, walking legs, life, This is Your Life, cell, drop, grow up
峰	summit	Summit		summit, mountain, Segway, Macbeth, walking legs, bushes
蜂	bee	Bee		bee, insect, Segway, Macbeth, walking legs, bushes
縫	sew	Sew		sew, thread, spiderman, tryst, Segway, Macbeth, walking legs, bushes, road
拝	worship	Worship		worship, finger, fingers, one, ceiling, bushes
寿	longevity	Lifespan		longevity, bushes, glue
鋳	casting	Cast		casting, metal, gold, longevity, bushes, glue
籍	enroll	Enroll		enroll, bamboo, christmas tree, wood, once upon a time, storyteller, salad, sun, day
春	springtime	Spring		springtime, bonsai, sun, day
椿	camellia			camellia, tree, wood, springtime, bonsai, sun, day
泰	peaceful	Peace		peaceful, bonsai, grains of rice
奏	play music	Play Music		play music, bonsai, heavens
実	reality	Truth		reality, house, bonsai
奉	dedicate	Dedicate		observance, dedicate, bonsai, cornstalk
俸	stipend	Salary		stipend, person, observance, dedicate, bonsai, cornstalk
棒	rod	Pole		rod, tree, wood, observance, dedicate, bonsai, cornstalk
謹	discreet	Humble		discreet, say, words, keitai, mouth, cabbage, flowers, mouth, grow up
僅	trifle			trifle, person, cabbage, flowers, mouth, grow up
勤	diligence	Work		diligence, cabbage, flowers, mouth, grow up, power, muscle, arnold
漢	Sino-	Chinese		sino, water, water droplets, water pistol, scarecrow, flowers, mouth, husband
嘆	sigh	Sigh		sigh, mouth, scarecrow, flowers, mouth, husband
難	difficult	Difficult		difficult, scarecrow, flowers, mouth, husband, turkey
華	splendor	Showy		splendor, flowers, silage, ten, needle
垂	droop	Dangle		droop, drop, silage, walking cane, stick, one, floor
唾	saliva			saliva, mouth, droop, drop, silage, one, floor
睡	drowsy	Drowsy		drowsy, eye, droop, drop, silage, walking cane, stick, one, floor
錘	spindle			spindle, metal, gold, droop, drop, silage, walking cane, stick, one, floor
乗	ride	Ride		ride, wheat, cereal, silage
剰	surplus	Surplus		surplus, ride, wheat, cereal, silage, sword, sabre, saber
今	now	Now		now, meeting, umbrella, one, 7
含	include	Include		include, now, clock, mouth
貪	covet			now, meeting, umbrella, one, 7, shellfish, shell, clam, oyster, eye, animal legs, eight
吟	versify	Recital		versify, mouth, now, clock
念	wish	Thought		wish, now, clock, heart
捻	wrench			wrenching, finger, fingers, wish, wishbone, now, clock, heart
琴	harp	Harp		harp, king, jewel, ball, now, clock, king2, jewel2, ball2
陰	shade	Shade		shade, pinnacle, parthenon, acropolis, now, clock, rising cloud, two, elbow, wall
予	beforehand	Beforehand		beforehand, halberd with stroke missing
序	preface	Preface		preface, cave, beforehand
預	deposit	Deposit		deposit, beforehand, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
野	plains	Field		plains, computer, beforehand
兼	concurrently	Concurrently		concurrently, animal horns, horns, rake, stick, stick2
嫌	dislike	Dislike		dislike, woman, concurrently, animal horns, horns, rake
鎌	sickle	Sickle		sickle, metal, gold, concurrently, animal horns, horns, rake
謙	self-effacing	Modesty		self-effacing, say, words, keitai, mouth, concurrently, animal horns, horns, rake
廉	bargain	Bargain		bargain, cave, concurrently, animal horns, horns, rake
西	west	West		west, one, four
価	value	Value		value, person, old west
要	need	Need		need, old west, mouth, ceiling, woman
腰	loins	Waist		loins, moon, month, flesh, part of the body, need, old west, woman
票	ballot	Ballot		ballot, old west, altar, show, two, small
漂	drift	Drift		drift, water, water droplets, water pistol, ballot, old west, altar, show, two, small
標	signpost	Signpost		signpost, tree, wood, ballot, old west, altar, show, two, small
栗	chestnut			chestnut, old west, tree, wood
慄	shudder			state of mind, chestnut, old west, tree, wood
遷	transition	Transition		transition, old west, large, St. Bernard, snake, self, road
覆	capsize	Capsize		capsize, old west, restore, Nelson, column, going, line, fold back, double back, reclining, lying down, sun, day, walking legs
煙	smoke	Smoke		smoke, hearth fire, old west, soil, dirt, ground
南	south	South		south, ten, needle, belt, happiness, ten, needle, horns, cornstalk, stand up, vase, ten2, needle2
楠	camphor tree			camphor tree, tree, wood, south, ten, needle, belt, happiness, ten, needle, stand up, vase, ten2, needle2
献	offering	Offer		offering, south, ten, needle, belt, happiness, ten, needle, stand up, vase, chihuahua, dog, large, drop, ten2, needle2
門	gates	Gates		gates
問	question	Problem		question, gates, mouth
閲	review	Inspection		review, gates, devil, horns, elder brother, teenager, mouth, human legs
閥	clique	Clique		clique, gates, fell, person, fiesta
間	interval	Interval		interval, gates, sun, day
闇	pitch dark	Darkness		pitch dark, gates, sound, vase, stand up, sun, day
簡	simplicity	Simplicity		simplicity, bamboo, interval, gates, sun, day
開	open	Open		open, gates, two hands
閉	closed	Closed		closed, gates, genius, genie
閣	tower	The Cabinet		tower, gates, each, walking legs, mouth
閑	leisure	Leisure		leisure, gates, tree, wood
聞	hear	Hear		hear, gates, ear
潤	wet	Watered		wet, water, water droplets, water pistol, intercalate, gates, king, jewel, ball
欄	column	Column		column, tree, wood, gates, east, tree, wood, sun, day, tree2, wood2
闘	fight	Struggle	o(gates, l(beans, glue))	fight, gates, beans, table, one, mouth, glue
倉	godown	Warehouse		godown, meeting, single gate, umbrella, one, stable door, mouth
創	genesis	Create		genesis, godown, meeting, single gate, umbrella, one, stable door, mouth, sword, sabre, saber
非	un-	Injustice		un-, jail cell, prison bars
俳	haiku	Haiku		haiku, person, un-, jail cell, prison bars
排	repudiate	Reject		repudiate, finger, fingers, un-, jail cell, prison bars
悲	sad	Sad		sad, un-, jail cell, prison bars, heart
罪	guilt	Guilt		guilt, eye, cross-eyed, net, un-, jail cell, prison bars
輩	comrade	Comrade		comrade, un-, jail cell, prison bars, car
扉	front door	Front Door		front door, door, one, ceiling, flag, un-, jail cell, prison bars
侯	marquis			marquis, person, key, dart, drop, heavens
喉	throat	Throat		throat, mouth, marquis, person, key, dart, drop, heavens
候	climate	Climate		climate, marquis, person, stick, fred astaire, key, dart, drop, heavens
決	decide	Decide		decide, water, water droplets, water pistol, guillotine, key, St. Bernard, large, person
快	cheerful	Pleasant		cheerful, Freud, state of mind, guillotine, key, St. Bernard, large, person
偉	admirable	Greatness		admirable, person, locket, stick, key, mouth, monocle, sunglasses with one lens missing, cow
違	difference	Different		difference, locket, stick, key, mouth, monocle, sunglasses with one lens missing, road, cow
緯	horizontal	Latitude		horizontal, thread, spiderman, locket, stick, key, mouth, monocle, sunglasses with one lens missing, cow
衛	defense	Defense		defence, boulevard, going, locket, stick, key, mouth, monocle, sunglasses with one lens missing, cow
韓	Korea	Korea		korea, mist, ten, needle, early, sun, day, locket, stick, key, mouth, monocle, sunglasses with one lens missing, cow, ten2, needle2
干	dry	Dry		dry, clothesline
肝	liver	Liver		liver, moon, month, flesh, part of the body, dry, clothesline
刊	publish	Edition		publish, dry, clothesline, sword, sabre, saber
汗	sweat	Sweat		sweat, water, water droplets, water pistol, dry, clothesline
軒	flats	House Counter		flats, car, dry, clothesline
岸	beach	Coast		beach, mountain, cliff, dry, clothesline
幹	tree trunk	Tree Trunk		tree trunk, mist, ten, needle, early, sun, day, umbrella, dry, clothesline, ten2, needle2
芋	potato	Potato		potato, flowers, potato
宇	eaves	Outer Space		eaves, house, potato
余	too much	Surplus		too much, umbrella, potato, small
除	exclude	Exclude		exclude, pinnacle, parthenon, acropolis, scales, too much, umbrella, potato, small
徐	gradually	Gently		gradually, Nelson, column, going, line, scales, too much, umbrella, potato, small
叙	confer	Describe		confer, scales, too much, umbrella, potato, small, crotch
途	route	Route		route, scales, too much, umbrella, potato, small, road
斜	diagonal	Diagonal		diagonal, scales, too much, umbrella, potato, small, mmeasuring cup, big dipper, The Plough, drop, ten, needle
塗	paint	Paint		paint, water, water droplets, water pistol, scales, too much, umbrella, potato, small, soil, dirt, ground
束	bundle	Bundle		bundle, Chaplin, tree, wood, mouth
頼	trust	Trust		trust, bundle, Chaplin, tree, wood, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
瀬	rapids	Rapids		rapids, water, water droplets, water pistol, trust, bundle, Chaplin, tree, wood, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
勅	imperial order			imperial order, bundle, Chaplin, tree, wood, mouth, power, muscle, arnold
疎	alienate	Neglect		alienate, zoo, critters, stop, footprint, bundle, Chaplin, tree, wood, mouth
辣	bitter			spicy, stand up, vase, ten, needle, bundle, Chaplin, tree, wood, mouth
速	quick	Fast		quick, bundle, Chaplin, tree, wood, mouth, road
整	organize	Arrange		organise, bundle, Chaplin, tree, wood, mouth, taskmaster, correct, one, ceiling, stop, footprint
剣	saber	Sword		sabre, saber, awl, fit, meeting, umbrella, one, mouth, person, sword
険	precipitous	Risky		precipitous, pinnacle, parthenon, acropolis, awl, fit, meeting, umbrella, mouth, person
検	examination	Examine		examination, tree, wood, awl, fit, meeting, umbrella, mouth, person
倹	frugal	Thrifty		frugal, person, awl, fit, meeting, umbrella, mouth, person, person2
重	heavy	Heavy		heavy, thousand, computer, rice field, brains, soil, dirt, ground
動	move	Move		move, heavy, thousand, ri, computer, power, muscle, arnold
腫	tumor			tumour, moon, month, flesh, part of the body, heavy, thousand, ri, computer
勲	meritorious deed	Merit		meritorious deed, move, heavy, thousand, ri, computer, power, muscle, arnold, oven-fire, drop4, barbecue
働	work	Work		work, person, move, heavy, thousand, ri, computer, power, muscle, arnold
種	species	Kind		species, wheat, cereal, heavy, thousand, ri, computer
衝	collide	Collide		collide, boulevard, going, heavy, thousand, ri, computer
薫	fragrant			fragrant, flowers, heavy, thousand, ri, computer, oven-fire, drop4, barbecue
病	ill	Sick		ill, sickness, hospital, third class, one, ceiling, inside
痴	stupid	Stupid		stupid, sickness, hospital, know, dart, drop, heavens, mouth
痘	pox			pox, sickness, hospital, beans, table, one, mouth
症	symptoms	Symptom		symptoms, sickness, hospital, correct, one, ceiling, stop, footprint
瘍	carbuncle			sickness, easy, sun, day, knot, piglet’s tail
痩	lose weight	Thin		lose weight, sickness, hospital, Buddha’s hand, monkey, sun, day, rice field, stick, crotch
疾	rapidly	Rapidly		rapidly, sickness, hospital, dart, drop, heavens
嫉	envy			envy, woman, rapidly, sickness, hospital, dart, drop, heavens
痢	diarrhea	Diarrhea		diarrhea, sickness, hospital, profit, wheat, cereal, sword, sabre, saber
痕	scar			scar, sickness, hospital, silver
疲	tired	Exhausted		exhausted, tired, sickness, hospital, pelt, branch, ten, needle, crotch, hook
疫	epidemic	Epidemic		epidemic, sickness, hospital, cruise missile, missile, wind, crotch
痛	pain	Pain		pain, sickness, hospital, pogo stick, chop-seal, hanko, utilise, utilize
癖	mannerism	Habit		mannerism, sickness, hospital, ketchup, flag, mouth, spicy, stand up, vase, ten, needle
匿	hide	Hide		hide, box, young, flowers, right, by one's side, by one’s side, mouth
匠	artisan	Artisan		artisan, box, axe
医	doctor	Medicine		doctor, box, dart, drop, heavens
匹	equal	Small Animal		equal, box, human legs
区	ward	District		ward, box, sheaf
枢	hinge	Hinge		hinge, tree, wood, ward, box, sheaf
殴	assault	Assault		assault, ward, box, sheaf, missile, cruise missile, wind, crotch
欧	Europe	Europe		europe, ward, box, sheaf, lack, yawn
抑	repress	Suppress		repress, finger, fingers, stamp album, box, stamps
仰	faceup	Look Up To		face up, person, stamp album, box, stamps
迎	welcome	Welcome		welcome, stamp album, box, stamp, stamps, road
登	ascend	Climb		ascend, teepee, wigwam, beans, table, one, mouth
澄	lucidity	Lucidity		lucidity, water, water droplets, water pistol, ascend, teepee, wigwam, beans, table, one, mouth
発	discharge	Departure		discharge, teepee, wigwam, two, human legs
廃	abolish	Obsolete		abolish, cave, discharge, teepee, wigwam, two, human legs
僚	colleague	Colleague		colleague, person, pup tent, large, St. Bernard, sun, day, small, little
瞭	obvious	Clear		obvious, eye, pup tent, large, St. Bernard, sun, day, small, little
寮	dormitory	Dormitory		dormitory, house, pup tent, large, St. Bernard, sun, day, small, little
療	heal	Heal		heal, sickness, hospital, pup tent, large, St. Bernard, sun, day, small, little
彫	carve	Carve		carve, circumference, running track, glass hood, earthenware jar, lidded crock, soil, dirt, ground, mouth, shape
形	shape	Shape		shape, two hands, shape
影	shadow	Shadow		shadow, scenery, sun, day, capital, tall, top hat, mouth, small, little, shape
杉	cedar	Cedar		cedar, tree, wood, shape
彩	coloring	Coloring		coloring, claw, vulture, grab, tree, wood, shape
彰	patent	Clear		patent, badge, vase, stand up, sunflower, early, sun, day, ten, needle, shape
彦	lad			lad, vase, stand up, cliff, shape
顔	face	Face		face, lad, vase, stand up, cliff, shape, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
須	ought	Necessary		ought, shape, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
膨	swell	Swell		swell, moon, month, flesh, part of the body, drum, samurai, beans, table, one, mouth, shape
参	visit	Participate		nonplussed, visit, elbow, large, St. Bernard, shape
惨	wretched	Disaster		wretched, Freud, state of mind, nonplussed, visit, elbow, large, St. Bernard, shape
修	discipline	Discipline		discipline, person, stick, fred astaire, taskmaster, shape
珍	rare	Rare		rare, king, jewel, ball, parasol, umbrella, shape
診	checkup	Diagnose		check up, say, words, keitai, mouth, parasol, umbrella, shape
文	sentence	Writing		sentence, plaid, kilt, Billy Connolly, crotch
対	vis-à-vis	Versus		vis-a-vis, sentence, plaid, kilt, Billy Connolly, glue
紋	family crest	Family Crest		family crest, thread, spiderman, sentence, plaid, kilt, Billy Connolly
蚊	mosquito	Mosquito		mosquito, insect, sentence, sentence, plaid, kilt, Billy Connolly
斑	speckled			speckled, king, jewel, ball, sentence, plaid, kilt, Billy Connolly, king2, jewel2, ball2
斉	adjusted	Simultaneous		adjusted, sentence, plaid, kilt, Billy Connolly, two, fenceposts, cabers, moon
剤	dose	Dose		dose, adjust, adjusted, sentence, plaid, kilt, Billy Connolly, two, fenceposts, cabers, sword, sabre, saber, moon
済	finish	Come To An End		finish, water, water droplets, water pistol, adjust, adjusted, sentence, plaid, kilt, Billy Connolly, two, fenceposts, cabers, moon
斎	purification	Purification		purification, sentence, plaid, kilt, Billy Connolly, fenceposts, cabers, altar, show, two, small
粛	solemn	Solemn		solemn, rake, fenceposts, cabers, rice
塁	bases	Base		bases, rice field, brains, sparkler, soil, dirt, ground
楽	music	Comfort		music, white, dove, sparkler, tree, wood
薬	medicine	Medicine		medicine, flowers, music, white, dove, sparkler, tree, wood
率	ratio	Percent		ratio, mysterious, question mark, top hat, cocoon, sparkler, ten, needle
渋	astringent	Bitter		astringent, water, water droplets, water pistol, stop, footprint, sparkler
摂	vicarious	In Addition		vicarious, finger, fingers, ear, sparkler
央	center	Center		center, large, St. Bernard, box body
英	England	England		England, flowers, centre, center, large, St. Bernard
映	reflect	Reflect		reflect, sun, day, centre, center, large, St. Bernard
赤	red	Red		red, soil, dirt, ground, apple, top hat, drop, drops, dagger, small, little, eight, human legs
赦	pardon	Pardon		pardon, red, taskmaster
変	unusual	Change		unusual, apple, top hat, sword, dagger, small, little, eight, human legs, walking legs
跡	tracks	Traces		tracks, wooden leg, mouth, stop, footprint, apple, top hat, sword, dagger, small, little, eight, human legs, walking legs
蛮	barbarian	Barbarian		barbarian, apple, top hat, sword, dagger, small, little, eight, human legs, walking legs, insect
恋	romance	Romance		romance, apple, top hat, sword, dagger, small, little, eight, human legs, walking legs, heart
湾	gulf	Gulf		gulf, water, water droplets, water pistol, apple, top hat, sword, dagger, small, little, eight, human legs, walking legs, bow
黄	yellow	Yellow		yellow, salad, sprout, shoot, animal legs, eight
横	sideways	Side		sideways, tree, wood, yellow, salad, sprout, shoot, animal legs, eight
把	grasp	Bundle		grasp, finger, fingers, mosaic
色	color	Color		color, bound up, mosaic
絶	discontinue	Extinction		discontinue, thread, spiderman, colour, color, bound up, mosaic
艶	glossy			glossy, bountiful, bend, beans, table, one, mouth, colour, color, bound up, mosaic
肥	fertilizer	Obese		fertilizer, moon, month, flesh, part of the body, mosaic
甘	sweet	Sweet		sweet, wicker basket, picnic basket
紺	navy blue	Navy		navy blue, thread, spiderman, sweet, wicker basket, picnic basket
某	so-and-so	Certain		so-and-so, sweet, wicker basket, picnic basket, tree, wood
謀	conspire	Conspire		conspire, say, words, keitai, mouth, so-and-so, sweet, wicker basket, picnic basket, tree, wood
媒	mediator	Mediator		mediator, woman, so-and-so, sweet, wicker basket, picnic basket, tree, wood
欺	deceit	Deceit		deceit, bushel basket, hamper, animal legs, eight, lack, yawn, bound up, person
棋	chess piece	Chess Piece		chess piece, tree, wood, bushel basket, hamper, animal legs, eight
旗	national flag	Flag		national flag, banner, compass, direction reclining, lying down, bushel basket, hamper, animal legs, eight
期	period	Period Of Time		period, bushel basket, hamper, animal legs, eight, moon, month, flesh, part of the body
碁	Go	Go		go, bushel basket, hamper, animal legs, eight, stone, rock
基	fundamentals	Foundation		fundamentals, bushel basket, hamper, animal legs, eight, soil, dirt, ground
甚	tremendously	Very		tremendously, bushel basket, hamper, equal, human legs
勘	intuition	Intuition		intuition, tremendously, bushel basket, hamper, equal, human legs, power, muscle, arnold
堪	withstand	Endure		withstand, soil, dirt, ground, tremendously, bushel basket, hamper, equal, human legs
貴	precious	Valuable		precious, Takanohana, purse, in, one, floor, shellfish, shell, clam, oyster, eye, animal legs, eight
遺	bequeath	Leave Behind		bequeath, precious, Takanohana, purse, inX, one, floor, shellfish, shell, clam, oyster, eye, animal legs, eight, road
遣	dispatch	Dispatch		dispatch, purse, inX, one, floor, maestro without baton, road
潰	defile			defile, water, water droplets, water pistol, precious, Takanohana, purse, inX, one, floor, shellfish, shell, clam, oyster, eye, animal legs, eight
舞	dance	Dance		dance, reclining, lying down, tub, sunglasses, dancing legs, ballerina, evening, cow
無	nothingness	Nothing		nothingness, nothing, reclining, lying down, tub, oven-fire, drop4, barbecue
組	association	Group		association, thread, spiderman, shelf, my bookshelves
粗	coarse	Coarse		coarse, rice, shelf, my bookshelves
租	tariff	Tariff		tariff, wheat, cereal, shelf, my bookshelves
狙	aim at	Aim		aim at, pack of wild dogs, shelf, my bookshelves
祖	ancestor	Ancestor		ancestor, altar, shelf, my bookshelves
阻	thwart	Thwart		thwart, pinnacle, parthenon, acropolis, shelf, my bookshelves
査	investigate	Inspect		investigate, tree, wood, shelf, my bookshelves
助	help	Help		help, shelf, my bookshelves, power, muscle, arnold
宜	best regards	Best Regards		best regards, house, shelf, my bookshelves
畳	tatami mat	Tatami Mat		tatami mat, rice field, brains, crown, shelf, my bookshelves
並	row	Line Up		row
普	universal	Normal		universal, row, sun, day
譜	musical score	Genealogy		musical score, say, words, keitai, mouth, universal, row, sun, day
湿	damp	Damp		damp, water, water droplets, water pistol, sun, day, row
顕	appear	Appear		appear, sun, day, row, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
繊	slender	Fiber		slender, thread, spiderman, Thanksgiving, harvest festival, ten, needle, fiesta, row
霊	spirits	Ghost		spirits, rain, weather, two, row
業	profession	Business		business, profession, upside down in a row, row, not yet, tree, wood
撲	slap	Slap		slap, finger, fingers, upside down in a row, husband
僕	me	I		me, person, upside down in a row, husband
共	together	Together		together, salad, animal legs, eight
供	submit	Servant		submit, person, strung together, salad, animal legs, eight
異	uncommon	Differ		uncommon, rice field, brains, strung together, salad, animal legs, eight
翼	wing	Wing		wing, feathers, wings, uncommon, rice field, brains, strung together, salad, animal legs, eight
戴	accept humbly	Receive		accept humbly, Thanksgiving, harvest festival, ten, needle, fiesta, uncommon, rice field, brains, strung together, salad, animal legs, eight
洪	deluge	Flood		deluge, water, water droplets, water pistol, strung together, salad, animal legs, eight
港	harbor	Harbor		harbor, deluge, water, water droplets, water pistol, scene, strung together, salad, animal legs, eight, snake, self
暴	outburst	Violence		outburst, sun, day, strung together, salad, animal legs, eight, grains of rice
爆	bomb	Explode		bomb, fire, outburst, strung together, salad, animal legs, eight, grains of rice
恭	respect	Respect		respect, strung together, salad, animal legs, eight, valentine
選	elect	Choose		elect, southeast, snake, self, strung together, salad, animal legs, eight, road, snake2, self2
殿	Mr.	Milord		Mr, flag, strung together, salad, animal legs, eight, cruise missile, missile, wind, crotch
井	well	Well		well
丼	donburi	Rice Bowl		donburi, domburi, well, drop
囲	surround	Surround		surround, pent in, well
耕	till	Plow		till, christmas tree, well
亜	Asia	Asia		Asia, roman two, mouth
悪	bad	Bad		bad, Asia, roman two, mouth, heart
円	circle	Yen		circle, yen
角	angle	Angle		angle, bound up, glass canopy, hood, walking cane, stick, two
触	contact	Touch		contact, angle, bound up, glass canopy, hood, walking cane, stick, two, insect
解	unravel	Untie		unravel, angle, bound up, glass canopy, hood, walking cane, stick, two, sword, dagger, cow
再	again	Again		again, king, jewel, ball, belt
講	lecture	Lecture		lecture, say, words, keitai, mouth, funnel, cone, celery, again
購	subscription	Subscription		subscription, shellfish, shell, clam, oyster, eye, animal legs, eight, funnel, cone, celery, again
構	posture	Set Up		posture, tree, wood, funnel, cone, celery, again, utilize
溝	gutter	Gutter		gutter, water, water droplets, water pistol, funnel, cone, celery, again
論	argument	Theory		argument, say, words, keitai, mouth, post-it note, meeting, tome, scrapbook, scrapbooks, glass canopy, hood, flowers
倫	ethics	Ethics		ethics, person, post-it note, meeting, tome, scrapbook, glass canopy, hood, flowers
輪	wheel	Wheel		wheel, car, post-it note, meeting, tome, scrapbook, glass canopy, hood, flowers
偏	partial	Biased		partial, person, fishfinger, door, one, ceiling, flag, tome, scrapbook, glass canopy, hood, flowers
遍	everywhere	Universal		everywhere, fishfinger, door, one, ceiling, flag, tome, scrapbook, glass canopy, hood, flowers, road
編	compilation	Knit		compilation, thread, spiderman, fishfinger, door, one, ceiling, flag, tome, scrapbook, glass canopy, hood, flowers
冊	tome	Book Counter		tome, scrapbook, scrapbooks
柵	palisade	Fence		palisade, tree, wood, tome, scrapbook, scrapbooks
典	code	Rule		code, bend, tool
氏	family name	Family Name		family name, drop, fishhook, fishhook2
紙	paper	Paper		paper, thread, spiderman, family name
婚	marriage	Marriage		marriage, woman, dusk, family name, sun, day
低	lower	Low		lower, person, calling card, family name, one, floor
抵	resist	Resist		resist, finger, fingers, calling card, family name, one, floor
底	bottom	Bottom		bottom, cave, calling card, family name, one, floor
民	people	Peoples		people, mouth, family name
眠	sleep	Sleep		sleep, eye, people, mouth, family name
捕	catch	Catch		catch, finger, fingers, dog tag, dogtag, arrowhead, screwdriver, utilize, utilise
哺	suckle	Nurse		mouth, offspring, dog tag, dogtag, arrowhead, screwdriver, utilize, utilise
浦	bay	Bay		bay, water, water droplets, water pistol, dog tag, arrowhead, screwdriver, utilize, utilise
蒲	bullrush			bulrush, flowers, bay, water, water droplets, water pistol, dog tag, arrowhead, screwdriver, utilize, utilise
舗	shop	Shop		shop, cottage, little-thatch, umbrella, earthenware jar, lidded crock, soil, dirt, ground, mouth, dog tag, arrowhead, screwdriver, utilize, utilise
補	supplement	Supplement		supplement, cloak, dog tag, arrowhead, screwdriver, utilize, utilise
邸	residence	Residence		residence, calling card, family name, one, floor, city walls
郭	enclosure	Enclosure		enclosure, receive, tall, top hat, mouth, child, children, city walls
郡	county	County		county, old boy, mop, mouth, city walls
郊	outskirts	Suburbs		outskirts, mingle, top hat, father, city walls
部	section	Part		section, muzzle, vase, stand up, mouth, city walls
都	metropolis	Metropolis		metropolis, someone, puppet, sooty, old man, sun, day, city walls
郵	mail	Mail		mail, droop, silage, city walls
邦	home country	Home Country		home country, bushes, hook, city walls
那	interrogative	What		interrogative, sword, dagger, two, city walls
郷	hometown	Hometown		home town, cocoon, silver, city walls
響	echo	Echo		echo, home town, cocoon, silver, city walls, sound, vase, stand up, sun, day, tongue wagging
郎	son	Guy		son, halo, good, drop, silver, city walls
廊	corridor	Corridor		corridor, cave, son, halo, good, drop, silver, city walls
盾	shield	Shield		shield, drag, ten, needle, eye
循	sequential	Circulation		sequential, Nelson, column, going, line, shield, drag, ten, needle, eye
派	faction	Sect		faction, water, water droplets, water pistol, caveman, drag, person, rag
脈	vein	Vein		vein, moon, month, flesh, part of the body, caveman, drag, person, rag
衆	masses	Populace		masses, blood, drop, dish, Carol in rags person, rag, drop3
逓	parcel post			parcel post, drag, cornstalk, belt, road
段	grade	Steps		grade, staple gun, staples, cruise missile, missile, wind, crotch
鍛	forge	Forge		forge, metal, gold, grade, staple gun, staples, cruise missile, missile, wind, crotch
后	empress	Empress		empress, drag, one, ceiling, mouth
幻	phantasm	Illusion		phantasm, cocoon, clothes hanger, coat hanger
司	director	Director		director, clothes hanger, coat hanger, one, mouth
伺	pay respects	Pay Respects		pay respects, person, director, Ken Russel, clothes hanger, coat hanger, one, mouth
詞	parts of speech	Part Of Speech		part of speech, say, words, keitai, mouth, director, Ken Russel, clothes hanger, coat hanger, one, mouth, mouth2
